chunk_size;chunk_overlap;level;k;precision;recall;iou
400;25;token;5;7.47;73.73;7.34
400;25;char;5;7.43;74.01;7.3
400;25;token;10;4.71;85.13;4.68
400;25;char;10;4.72;85.39;4.69
400;25;token;15;3.7;88.47;3.68
400;25;char;15;3.71;88.74;3.7
400;50;token;5;7.49;73.73;7.35
400;50;char;5;7.45;74.01;7.31
400;50;token;10;4.71;85.13;4.68
400;50;char;10;4.71;85.39;4.69
400;50;token;15;3.71;88.47;3.69
400;50;char;15;3.72;88.74;3.71
400;125;token;5;7.5;73.73;7.37
400;125;char;5;7.46;74.01;7.32
400;125;token;10;4.71;85.13;4.68
400;125;char;10;4.72;85.39;4.69
400;125;token;15;3.7;88.31;3.69
400;125;char;15;3.72;88.56;3.7
